ADRES,COMPLEX_GB_CD,COMPLEX_NM1,COMPLEX_NM2,COMPLEX_NM3,COMPLEX_PK,DONG_CNT,PNU,UNIT_CNT,USEAPR_DT,dong,jibun
서울특별시 동대문구 용두동 138-41,1,두산베어스타워,두산베어스타워,두산베어스타워,11230100000148,1,1123010200101380041,62,19981002,용두동,138-41
서울특별시 동대문구 용두동 779,1,신동아,신동아아파트,신동아아파트,11230100000149,5,1123010200107790000,772,19941014,용두동,779
서울특별시 동대문구 제기동 892-68,1,경동미주,,경동미주아파트,11230100000150,3,1123010300108920068,228,19770630,제기동,892-68
서울특별시 동대문구 제기동 1212,1,한신아파트,한신아파트,한신아파트,11230100000152,12,1123010300112120000,1070,20040511,제기동,1212
서울특별시 동대문구 제기동 892-66,1,현대,현대아파트,현대아파트,11230100000153,3,1123010300108920066,261,19991113,제기동,892-66
서울특별시 동대문구 제기동 120-10,1,홍파,,,11230100000154,1,1123010300101200010,38,19711007,제기동,120-10
서울특별시 동대문구 전농동 645-2,1,동아,동아아파트,동아아파트,11230100000155,2,1123010400106450002,360,19971222,전농동,645-2
서울특별시 동대문구 전농동 155,1,전농동삼성래미안,전농동삼성아파트,전농동삼성아파트,11230100000156,7,1123010400101550000,463,20000513,전농동,155
서울특별시 동대문구 전농동 10,1,전농SK,전농 SK아파트,전농 SK아파트,11230100000157,16,1123010400100100000,1830,20000706,전농동,10
서울특별시 동대문구 전농동 103-340,1,씨티빌라트,씨티빌라트,씨티빌라트,11230100000158,1,1123010400101030340,18,19990320,전농동,103-340
서울특별시 동대문구 전농동 6,1,전농우성,전농우성아파트,전농우성아파트,11230100000159,15,1123010400100060000,1234,19920311,전농동,6
서울특별시 동대문구 전농동 103-22,1,세화,,,11230100000160,1,1123010400101030022,14,20020617,전농동,103-22
서울특별시 동대문구 답십리동 645-8,1,신답경남,신답경남아파트,신답경남아파트,11230100000163,1,1123010500106450008,225,19910619,답십리동,645-8
서울특별시 동대문구 답십리동 464-1,1,신답극동,신답극동아파트,신답극동아파트,11230100000164,2,1123010500104640001,225,19870804,답십리동,464-1
서울특별시 동대문구 답십리동 111,1,답십리대우,답십리 대우아파트,답십리 대우아파트,11230100000165,4,1123010500101110000,319,20020429,답십리동,111
서울특별시 동대문구 답십리동 42,1,동답한신,동답한신아파트,동답한신아파트,11230100000166,4,1123010500100420000,600,19920103,답십리동,42
서울특별시 동대문구 답십리동 41,1,동서울한양,동서울한양아파트,동서울한양아파트,11230100000167,3,1123010500100410000,499,19890725,답십리동,41
서울특별시 동대문구 답십리동 10,1,동아,동아아파트,동아아파트,11230100000168,7,1123010500100100000,741,20011123,답십리동,10
서울특별시 동대문구 답십리동 990,1,두산,두산아파트,두산아파트,11230100000169,9,1123010500109900000,739,20000802,답십리동,990
서울특별시 동대문구 답십리동 530-5,1,삼희,,,11230100000170,4,1123010500105300005,150,19831219,답십리동,530-5
서울특별시 동대문구 답십리동 989-1,1,우성그린,우성그린아파트,우성그린아파트,11230100000171,5,1123010500109890001,496,19970523,답십리동,989-1
서울특별시 동대문구 답십리동 494-2,1,우창프라자,우창프라자아파트,우창프라자아파트,11230100000172,1,1123010500104940002,44,19940610,답십리동,494-2
서울특별시 동대문구 답십리동 80,1,답십리청솔우성,답십리청솔우성아파트,답십리청솔우성아파트,11230100000173,14,1123010500100800000,1110,20000318,답십리동,80
서울특별시 동대문구 답십리동 80-2,1,청솔2차우성,청솔2차우성아파트,청솔2차우성아파트,11230100000174,1,1123010500100800002,127,20001213,답십리동,80-2
서울특별시 동대문구 답십리동 994,1,답십리한화,답십리한화아파트,답십리한화아파트,11230100000176,1,1123010500109940000,146,20010928,답십리동,994
서울특별시 동대문구 답십리동 493-5,1,클래식타워,클래식타워,클래식타워,11230100000177,1,1123010500104930005,39,19990629,답십리동,493-5
서울특별시 동대문구 답십리동 808,1,대림,대림아파트,대림아파트,11230100000178,3,1123010500108080000,228,20030108,답십리동,808
서울특별시 동대문구 장안동 332-2,1,정은101동(332-2),정은아파트,정은아파트,11230100000180,1,1123010600103320002,36,19990707,장안동,332-2
서울특별시 동대문구 장안동 332-6,1,천강(332-6),,,11230100000181,1,1123010600103320006,19,19960715,장안동,332-6
서울특별시 동대문구 장안동 555-1,1,한신아파트,한신아파트,한신아파트,11230100000182,2,1123010600105550001,300,19960611,장안동,555-1
서울특별시 동대문구 장안동 95-1,1,장안현대,현대아파트,현대아파트,11230100000183,8,1123010600100950001,456,19840630,장안동,95-1
서울특별시 동대문구 장안동 360-2,1,장안SM드림빌(360-2),장안SM드림빌,장안SM드림빌,11230100000184,1,1123010600103600002,18,20030128,장안동,360-2
서울특별시 동대문구 장안동 371-1,1,장안삼성쉐르빌,장안삼성쉐르빌,장안삼성쉐르빌,11230100000185,1,1123010600103710001,254,20020805,장안동,371-1
서울특별시 동대문구 장안동 390-5,1,성림(390-5),성림 아파트,성림 아파트,11230100000186,1,1123010600103900005,18,20030129,장안동,390-5
서울특별시 동대문구 장안동 418-4,1,장안예원(418-4),,,11230100000187,1,1123010600104180004,17,20021028,장안동,418-4
서울특별시 동대문구 장안동 556,1,방원예뜨랑,방원예뜨랑아파트,방원예뜨랑아파트,11230100000188,1,1123010600105560000,49,20020805,장안동,556
서울특별시 동대문구 청량리동 425,1,광남캐스빌,,,11230100000189,1,1123010700104250000,20,20020409,청량리동,425
서울특별시 동대문구 청량리동 235-1,1,미주,미주아파트,미주아파트,11230100000190,8,1123010700102350001,1089,19780927,청량리동,235-1
서울특별시 동대문구 청량리동 60,1,한신,,한신아파트,11230100000191,9,1123010700100600000,960,19971216,청량리동,60
서울특별시 동대문구 청량리동 234-2,1,현대,현대아파트,현대아파트,11230100000192,3,1123010700102340002,241,19870616,청량리동,234-2
서울특별시 동대문구 청량리동 738,1,현대코아,청량리현대코아,청량리현대코아,11230100000193,2,1123010700107380000,88,19971205,청량리동,738
서울특별시 동대문구 청량리동 212,1,홍릉동부,홍릉동부아파트,홍릉동부아파트,11230100000194,4,1123010700102120000,371,20010924,청량리동,212
서울특별시 동대문구 회기동 65,1,신현대,청량리신현대아파트,청량리신현대아파트,11230100000195,8,1123010800100650000,736,19890526,회기동,65
서울특별시 동대문구 휘경동 308-110,1,동성,동성아파트,동성아파트,11230100000196,1,1123010900103080110,19,20011013,휘경동,308-110
서울특별시 동대문구 휘경동 78,1,롯데,휘경동롯데아파트,휘경동롯데아파트,11230100000197,2,1123010900100780000,265,20000825,휘경동,78
서울특별시 동대문구 휘경동 49-5,1,서울가든,,,11230100000198,1,1123010900100490005,160,19851203,휘경동,49-5
서울특별시 동대문구 휘경동 106,1,휘경미소지움,휘경미소지움아파트,휘경미소지움아파트,11230100000199,5,1123010900101060000,345,19990831,휘경동,106
