complex_id,MDD,n_trades,trade_activity_ratio,liquidity_tier
0,0.36796857328371113,74,0.9642857142857143,4
3,0.2253903777168181,48,0.6071428571428571,3
5,0.21814297579942057,47,0.35714285714285715,1
7,0.19230769230769235,18,0.5,2
8,0.10869565217391296,14,0.39285714285714285,2
17,0.23398328690807793,11,0.32142857142857145,1
20,0.23582561368145355,11,0.25,1
22,0.1345985745024207,24,0.5,2
25,0.19908466819221984,25,0.5357142857142857,2
28,0.11434126690069343,15,0.2857142857142857,1
37,0.12933333333333324,13,0.39285714285714285,2
38,0.11824324324324333,10,0.2857142857142857,1
41,0.20948486759200033,17,0.35714285714285715,1
42,0.11597580134246628,10,0.21428571428571427,1
44,0.039215686274509755,13,0.2857142857142857,1
46,0.2294572328910366,33,0.6071428571428571,3
48,0.14454277286135683,15,0.35714285714285715,1
49,0.19354838709677413,25,0.5,2
57,0.23639786255657588,105,0.9642857142857143,4
58,0.4197313845123253,185,0.9285714285714286,4
60,0.21739130434782614,55,0.8928571428571429,4
61,0.3131723477892432,54,0.75,3
63,0.43421615282335424,116,0.8214285714285714,3
66,0.2945921985815604,37,0.7142857142857143,3
68,0.14475138121546957,27,0.6428571428571429,3
77,0.32428848293657386,199,0.8928571428571429,4
78,0.15280837388285476,11,0.35714285714285715,1
84,0.15662650602409636,10,0.32142857142857145,1
86,0.2275902684700054,33,0.5357142857142857,2
88,0.12657317511686453,33,0.4642857142857143,2
90,0.21917808219178084,41,0.5357142857142857,2
91,0.029265351163486494,15,0.10714285714285714,1
92,0.08330186259280907,11,0.2857142857142857,1
93,0.45456151149409907,157,1.0,4
95,0.35714285714285715,53,0.7857142857142857,3
96,0.0643325284580889,14,0.2857142857142857,1
97,0.47871713534199567,60,0.6785714285714286,3
98,0.44931092913298376,224,0.8928571428571429,4
99,0.42064321374666197,196,0.9642857142857143,4
100,0.19632834958249049,18,0.39285714285714285,2
101,0.1426889877059899,15,0.2857142857142857,1
103,0.3843449210354172,491,1.0,4
104,0.5058823529411764,24,0.5,2
106,0.36842919239696914,26,0.5714285714285714,2
108,0.5533924992842829,17,0.4642857142857143,2
109,0.45383713136729226,17,0.42857142857142855,2
110,0.2850069523673702,59,0.7142857142857143,3
111,0.2571428571428572,61,0.8214285714285714,3
112,0.04001125690364795,28,0.17857142857142858,1
114,0.2654774396642182,32,0.6428571428571429,3
115,0.31345147068953627,60,0.8214285714285714,3
119,0.1666666666666666,19,0.4642857142857143,2
120,0.06914893617021275,15,0.32142857142857145,1
121,0.6408995517057514,167,0.9642857142857143,4
122,0.18933396916229564,12,0.2857142857142857,1
124,0.28630952380952385,55,0.7142857142857143,3
125,0.03693931398416878,11,0.35714285714285715,1
127,0.24829251059821006,13,0.39285714285714285,2
128,0.240209752791353,10,0.21428571428571427,1
129,0.12307692307692314,12,0.35714285714285715,1
133,0.20200840994399064,10,0.25,1
138,0.3043754213119005,13,0.2857142857142857,1
140,0.35177588574946467,15,0.42857142857142855,2
141,0.3644769985416943,18,0.4642857142857143,2
146,0.4171779141104297,164,0.8571428571428571,3
147,0.48728035132709374,250,0.9642857142857143,4
151,0.34408411815362067,126,0.39285714285714285,2
152,0.551622418879056,65,0.75,3
155,0.28096213536625325,28,0.35714285714285715,1
156,0.15062420354651287,12,0.32142857142857145,1
158,0.22555381965308668,26,0.5714285714285714,2
159,0.4523596772832947,736,1.0,4
161,0.31933949309974735,206,0.9285714285714286,4
163,0.6309416137891846,73,0.75,3
164,0.5911499215070644,194,0.9285714285714286,4
166,0.4173465423465424,125,0.8571428571428571,3
167,0.4135747265509609,89,0.7857142857142857,3
169,0.2749691738594327,35,0.5,2
170,0.2721525630596391,35,0.5714285714285714,2
172,0.26097433486271615,47,0.6071428571428571,3
174,0.3515848052340301,443,0.9642857142857143,4
176,0.498273432823336,233,0.8928571428571429,4
177,0.5411127871059243,255,0.9285714285714286,4
180,0.2974183122085266,30,0.5,2
181,0.36684520884520877,39,0.6071428571428571,3
182,0.3726478439057619,90,0.7857142857142857,3
184,0.43447152948852913,89,0.8571428571428571,3
185,0.38522218770845185,114,0.8571428571428571,3
186,0.47174762737115483,229,1.0,4
188,0.3888888888888889,31,0.5714285714285714,2
189,0.5328255080760995,227,0.9285714285714286,4
193,0.4095555619964547,134,0.8571428571428571,3
194,0.4516258608297395,595,1.0,4
195,0.3994171890712254,105,0.8214285714285714,3
197,0.4881520091678681,488,0.9642857142857143,4
200,0.41978645614103777,23,0.42857142857142855,2
201,0.09230009164852804,16,0.39285714285714285,2
203,0.30222867949743604,17,0.39285714285714285,2
204,0.4148612114223555,123,0.8571428571428571,3
206,0.0912732731014574,44,0.25,1
207,0.5272610040263003,264,0.9285714285714286,4
208,0.19564812685480248,71,0.5,2
212,0.2063492063492064,23,0.6428571428571429,3
213,0.40454925194832453,104,1.0,4
214,0.3028024606971976,17,0.39285714285714285,2
215,0.16518670979123792,11,0.2857142857142857,1
219,0.5343110449243637,102,0.8571428571428571,3
220,0.14811408739507811,11,0.35714285714285715,1
222,0.10716386974873969,44,0.25,1
223,0.4256410217790602,47,0.6785714285714286,3
224,0.3857965701633454,20,0.4642857142857143,2
225,0.4970379146919431,56,0.8214285714285714,3
226,0.2869965850211964,81,0.42857142857142855,2
230,0.40320855614973267,43,0.6428571428571429,3
232,0.08669354838709671,13,0.32142857142857145,1
233,0.14498310878248252,12,0.25,1
235,0.2256288431624294,18,0.42857142857142855,2
236,0.4775465498357065,67,0.6071428571428571,3
237,0.376619170984456,167,0.8571428571428571,3
240,0.5324332047435348,14,0.2857142857142857,1
241,0.33597897634198887,84,0.75,3
242,0.4314420202143106,106,0.8214285714285714,3
243,0.24038461538461528,61,0.6071428571428571,3
245,0.5777915576644774,51,0.5714285714285714,2
247,0.3995714130789192,549,1.0,4
249,0.44160390680160044,124,0.7857142857142857,3
253,0.376430385728453,211,0.9285714285714286,4
255,0.3659390203762212,28,0.5,2
256,0.4886520961344015,44,0.7142857142857143,3
259,0.43268945111466545,64,0.6071428571428571,3
260,0.39439763521468246,27,0.5714285714285714,2
264,0.14921769812897545,10,0.25,1
265,0.5652684569541556,110,0.8928571428571429,4
266,0.5072785268957518,193,0.9285714285714286,4
267,0.19919016730609507,24,0.39285714285714285,2
268,0.1441441441441442,28,0.5357142857142857,2
269,0.4772864338081729,264,0.9642857142857143,4
271,0.17123287671232876,23,0.5714285714285714,2
273,0.3293336679061068,144,0.9285714285714286,4
274,0.13513513513513517,14,0.32142857142857145,1
276,0.3728813559322034,50,0.75,3
277,0.34246515254488624,72,0.7857142857142857,3
279,0.2146198819478971,109,0.8571428571428571,3
282,0.3688253925466675,61,0.75,3
283,0.48546176244368744,51,0.7142857142857143,3
284,0.3358599228391526,53,0.8571428571428571,3
286,0.31065405030011406,46,0.5,2
287,0.3014802438638272,89,0.75,3
288,0.2672343199996896,38,0.4642857142857143,2
290,0.5756396848294435,30,0.5357142857142857,2
291,0.27718831995173226,53,0.6785714285714286,3
292,0.4196385513575091,132,0.8214285714285714,3
293,0.45245633835206844,172,0.8214285714285714,3
294,0.18695561747219216,25,0.35714285714285715,1
295,0.14885284723843065,14,0.17857142857142858,1
296,0.04017216642754662,10,0.25,1
297,-0.0,14,0.07142857142857142,1
298,0.1957220306412043,19,0.21428571428571427,1
299,0.501298803217579,68,0.8214285714285714,3
300,0.5061358874588447,73,0.8928571428571429,4
301,0.19556171983356446,13,0.2857142857142857,1
302,0.15545654517442276,17,0.39285714285714285,2
304,0.42976369270546183,395,1.0,4
307,0.4436442230659922,61,0.7857142857142857,3
308,0.456766619070284,157,0.8571428571428571,3
309,0.36576562307162963,84,0.8928571428571429,4
310,0.14226006635092192,11,0.25,1
311,0.36363636363636365,13,0.32142857142857145,1
312,0.2832103321033211,38,0.5714285714285714,2
313,0.30150026112139766,10,0.32142857142857145,1
314,0.16145181476846063,23,0.4642857142857143,2
315,0.3800327016937779,376,1.0,4
