aptNm,umdNm,jibun,excluUseAr,dealYear,dealMonth,dealDay,dealAmount,floor,buildYear,aptDong,buyerGbn,cdealDay,cdealType,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,lat,lon,price_per_m2,building_age,contract_date,year_month,complex_id
동아,답십리동,10,101.94,2019,1,9,59900.0,14,2001,,,,,,,N,,11230,,37.569342253763,127.061708365604,587.6005493427507,18,2019-01-09,2019-01,99
태솔아파트3차,장안동,346-1,55.68,2019,1,28,35400.0,5,2018,,,,,,,N,,11230,,37.5692589301709,127.070974942794,635.7758620689655,1,2019-01-28,2019-01,96
공성,제기동,892-65,73.62,2019,1,31,35800.0,2,1978,,,,,,,N,,11230,,37.580965220669,127.035869062302,486.28090192882365,41,2019-01-31,2019-01,238
광남캐스빌,청량리동,425,84.71,2019,1,18,50000.0,7,2002,,,,,,,N,,11230,,37.5860819009296,127.044514936847,590.2490851139181,17,2019-01-18,2019-01,258
미주,청량리동,235-1,127.11,2019,1,24,110000.0,7,1978,,,,,,,N,,11230,,37.5840013582663,127.046766367893,865.3921800015735,41,2019-01-24,2019-01,253
한신아파트,제기동,1212,84.76,2019,1,24,58000.0,6,2004,,,,,,,N,,11230,,37.5888514825052,127.0391170512,684.285040113261,15,2019-01-24,2019-01,269
현대,휘경동,363,84.94,2019,1,10,44500.0,4,1992,,,,,,,N,,11230,,37.5863213939361,127.055547243491,523.8992229809277,27,2019-01-10,2019-01,260
현대,휘경동,363,84.94,2019,1,18,36000.0,2,1992,,,,,,,N,,11230,,37.5863213939361,127.055547243491,423.82858488344715,27,2019-01-18,2019-01,260
휘경센트레빌,휘경동,367,84.79,2019,1,31,63500.0,4,2011,,,,,,,N,,11230,,37.5910250403914,127.068389230883,748.9090694657389,8,2019-01-31,2019-01,284
전농SK,전농동,10,114.3,2019,1,31,70000.0,13,2000,,,,,,,N,,11230,,37.5766421261107,127.060465846616,612.4234470691164,19,2019-01-31,2019-01,197
장안현대홈타운(336),장안동,336,84.87,2019,1,26,63500.0,8,2003,,,,,,,N,,11230,,37.569725659288,127.074606226438,748.2031342052551,16,2019-01-26,2019-01,103
동대문푸르지오시티(도시형생활주택),용두동,104-3,30.11,2019,1,8,38000.0,14,2016,,,,,,,N,,11230,,37.577770570406,127.032755692159,1262.039189637994,3,2019-01-08,2019-01,213
쌍용,이문동,64,84.89,2019,1,12,56500.0,16,2000,,,,,,,N,,11230,,37.5997835954564,127.068513545003,665.5672046177406,19,2019-01-12,2019-01,304
서희스타힐스,장안동,365-4,80.53,2019,1,4,45000.0,10,2013,,,,,,,N,,11230,,37.5692905479454,127.070535892189,558.7979634918664,6,2019-01-04,2019-01,97
한신아파트,제기동,1212,59.84,2019,1,21,51800.0,12,2004,,,,,,,N,,11230,,37.5888514825052,127.0391170512,865.6417112299465,15,2019-01-21,2019-01,269
신답극동,답십리동,464-1,53.1,2019,1,21,47000.0,11,1987,,,,,,,N,,11230,,37.5726924675573,127.044123220013,885.1224105461393,32,2019-01-21,2019-01,163
쌍용,이문동,64,114.35,2019,1,19,56800.0,1,2000,,,,,,,N,,11230,,37.5997835954564,127.068513545003,496.7205946655007,19,2019-01-19,2019-01,304
미주,청량리동,235-1,137.42,2019,1,14,115000.0,7,1978,,,,,,,N,,11230,,37.5840013582663,127.046766367893,836.8505312181634,41,2019-01-14,2019-01,253
센시티16,답십리동,488-18,14.244,2019,1,2,11500.0,17,2013,,,,,,,N,,11230,,37.5662755970916,127.056358640081,807.3574838528504,6,2019-01-02,2019-01,60
동양1차,휘경동,115,59.85,2019,1,17,45800.0,10,2000,,,,,,,N,,11230,,37.592585958542,127.067695090086,765.2464494569757,19,2019-01-17,2019-01,291
주공2,휘경동,57,59.79,2019,1,16,45000.0,14,2001,,,,,,,N,,11230,,37.5829871567703,127.070747052227,752.6342197691922,18,2019-01-16,2019-01,247
휘경동일하이빌,휘경동,365,84.997,2019,1,5,60000.0,14,2005,,,,,,,N,,11230,,37.5823446326166,127.073299760443,705.907267315317,14,2019-01-05,2019-01,245
롯데낙천대,휘경동,109,84.69,2019,1,15,59000.0,10,2003,,,,,,,N,,11230,,37.5919735169804,127.064380106947,696.6584012280081,16,2019-01-15,2019-01,288
답십리대우,답십리동,111,59.76,2019,1,22,51500.0,18,2002,,,,,,,N,,11230,,37.5734698133483,127.053366848512,861.7804551539491,17,2019-01-22,2019-01,167
전농동삼성래미안,전농동,155,59.93,2019,1,18,56000.0,22,2000,,,,,,,N,,11230,,37.5819288502804,127.055593680489,934.4234940764225,19,2019-01-18,2019-01,242
롯데캐슬피렌체,용두동,790,30.4,2019,1,19,33500.0,11,2009,,,,,,,N,,11230,,37.5771845144736,127.035721439041,1101.9736842105265,10,2019-01-19,2019-01,204
서희스타힐스,장안동,365-4,51.07,2019,1,30,30000.0,6,2013,,,,,,,N,,11230,,37.5692905479454,127.070535892189,587.4290189935383,6,2019-01-30,2019-01,97
다우하임,장안동,344-2,51.74,2019,1,2,34000.0,11,2018,,,,,,,N,,11230,,37.5711242579621,127.072020616089,657.1318129107074,1,2019-01-02,2019-01,134
경동미주,제기동,892-68,67.21,2019,1,6,56800.0,8,1977,,,,,,,N,,11230,,37.5791794440151,127.035594125987,845.1123344740366,42,2019-01-06,2019-01,224
민족통일MJ캠퍼스외대2차,이문동,327-4,20.55,2019,1,4,25000.0,5,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,1216.54501216545,1,2019-01-04,2019-01,297
래미안장안2차,장안동,329-3,81.05,2019,1,15,69400.0,22,2007,,,,,,,N,,11230,,37.5739643441634,127.075387468834,856.2615669339914,12,2019-01-15,2019-01,174
래미안장안2차,장안동,329-3,81.05,2019,1,12,67500.0,24,2007,,,,,,,N,,11230,,37.5739643441634,127.075387468834,832.8192473781617,12,2019-01-12,2019-01,174
신동아,용두동,779,84.63,2019,1,22,60000.0,14,1994,,,,,,,N,,11230,,37.5726984528527,127.032314709479,708.9684509039348,25,2019-01-22,2019-01,164
주공2,휘경동,57,59.13,2019,1,10,41000.0,8,2001,,,,,,,N,,11230,,37.5829871567703,127.070747052227,693.3874513783189,18,2019-01-10,2019-01,247
동아,전농동,645-2,57.9,2019,1,11,50000.0,18,1997,,,,,,,N,,11230,,37.5748821844995,127.045703803592,863.5578583765113,22,2019-01-11,2019-01,184
베라체캠퍼스,회기동,346-18,24.011,2019,1,18,25300.0,4,2013,,,,,,,N,,11230,,37.5908189073182,127.056057049768,1053.6837282912,6,2019-01-18,2019-01,279
전농SK,전농동,10,84.95,2019,1,20,66500.0,22,2000,,,,,,,N,,11230,,37.5766421261107,127.060465846616,782.8134196586227,19,2019-01-20,2019-01,197
엘림하우스2차,장안동,426-3,53.74,2019,1,15,38200.0,3,2018,,,,,,,N,,11230,,37.565827204255,127.065706698576,710.8299218459248,1,2019-01-15,2019-01,52
현대썬앤빌청계,답십리동,530-15,14.82,2019,1,18,13800.0,8,2016,,,,,,,N,,11230,,37.5661625518015,127.055151048753,931.1740890688259,3,2019-01-18,2019-01,57
장안현대,장안동,95-1,95.45,2019,1,28,50700.0,6,1984,,,,,,,N,,11230,,37.5808826791312,127.069120244697,531.1681508643269,35,2019-01-28,2019-01,236
브라운스톤휘경,휘경동,368,59.96,2019,1,23,63500.0,13,2013,,,,,,,N,,11230,,37.5904739061859,127.066492298357,1059.0393595730486,6,2019-01-23,2019-01,277
장안현대,장안동,95-1,95.39,2019,1,22,49000.0,2,1984,,,,,,,N,,11230,,37.5808826791312,127.069120244697,513.6806793164902,35,2019-01-22,2019-01,236
베라체캠퍼스,회기동,346-18,24.319,2019,1,13,24800.0,14,2013,,,,,,,N,,11230,,37.5908189073182,127.056057049768,1019.7787737982648,6,2019-01-13,2019-01,279
답십리청솔우성,답십리동,80,84.94,2019,1,12,63300.0,14,2000,,,,,,,N,,11230,,37.5744481574591,127.059673242852,745.2319284200612,19,2019-01-12,2019-01,177
래미안 허브리츠,용두동,792,59.98,2019,1,5,78000.0,10,2011,,,,,,,N,,11230,,37.5753483719501,127.036037644843,1300.433477825942,8,2019-01-05,2019-01,186
르메이에르7차(313-8),장안동,313-8,84.99,2019,1,5,40650.0,6,2005,,,,,,,N,,11230,,37.578143699432,127.072798547222,478.2915637133781,14,2019-01-05,2019-01,218
장안현대홈타운(336),장안동,336,58.42,2019,1,3,59000.0,11,2003,,,,,,,N,,11230,,37.569725659288,127.074606226438,1009.9281068127353,16,2019-01-03,2019-01,103
동답한신,답십리동,42,35.45,2019,1,12,28500.0,10,1992,,,,,,,N,,11230,,37.5708103275802,127.062579152969,803.9492242595204,27,2019-01-12,2019-01,121
베라체캠퍼스,회기동,346-18,24.011,2019,1,26,24800.0,5,2013,,,,,,,N,,11230,,37.5908189073182,127.056057049768,1032.8599391945359,6,2019-01-26,2019-01,279
동일스위트리버,휘경동,366,59.732,2019,1,5,52600.0,2,2007,,,,,,,N,,11230,,37.5874102629887,127.068693094024,880.6000133931561,12,2019-01-05,2019-01,265
베라체캠퍼스,회기동,346-18,54.526,2019,1,30,42500.0,7,2013,,,,,,,N,,11230,,37.5908189073182,127.056057049768,779.4446685984667,6,2019-01-30,2019-01,279
동아,전농동,645-2,57.9,2019,1,26,52200.0,9,1997,,,,,,,N,,11230,,37.5748821844995,127.045703803592,901.5544041450778,22,2019-01-26,2019-01,184
스타파크아파트,장안동,456-8,59.95,2019,1,19,38000.0,5,2016,,,,,,,N,,11230,,37.5618890482448,127.070834281665,633.8615512927439,3,2019-01-19,2019-01,2
대림e-편한세상,이문동,225,59.958,2019,1,16,51500.0,14,2003,,,,,,,N,,11230,,37.6045229147922,127.064973013617,858.9345875446146,16,2019-01-16,2019-01,315
투니온,이문동,256-2,14.26,2019,1,24,11000.0,13,2013,,,,,,,N,,11230,,37.6035177185416,127.062226713574,771.3884992987378,6,2019-01-24,2019-01,311
롯데캐슬피렌체,용두동,790,26.08,2019,1,18,26850.0,7,2009,,,,,,,N,,11230,,37.5771845144736,127.035721439041,1029.5245398773006,10,2019-01-18,2019-01,204
장안현대홈타운(336),장안동,336,112.78,2019,1,7,70000.0,6,2003,,,,,,,N,,11230,,37.569725659288,127.074606226438,620.677425075368,16,2019-01-07,2019-01,103
서희스타힐스,장안동,365-4,70.84,2019,1,25,40500.0,16,2013,,,,,,,N,,11230,,37.5692905479454,127.070535892189,571.7108977978543,6,2019-01-25,2019-01,97
두산위브,답십리동,998,59.91,2019,1,26,59000.0,12,2007,,,,,,,N,,11230,,37.5661858435952,127.057693983227,984.810549157069,12,2019-01-26,2019-01,58
금성아파트,장안동,93-128,65.95,2019,1,30,36900.0,6,2011,,,,,,,N,,11230,,37.580499520213,127.071484307365,559.5147839272175,8,2019-01-30,2019-01,233
장안현대홈타운(336),장안동,336,84.87,2019,1,15,68000.0,6,2003,,,,,,,N,,11230,,37.569725659288,127.074606226438,801.2254035583834,16,2019-01-15,2019-01,103
가우디트윈캐슬2,장안동,374-8,48.38,2019,1,13,28300.0,12,2016,,,,,,,N,,11230,,37.5681962043015,127.068382728879,584.9524596940885,3,2019-01-13,2019-01,82
민족통일MJ캠퍼스외대2차,이문동,327-4,21.07,2019,1,22,16000.0,12,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,759.3735168485999,1,2019-01-22,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,21.07,2019,1,23,16000.0,9,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,759.3735168485999,1,2019-01-23,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,20.55,2019,1,23,16000.0,8,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,778.5888077858881,1,2019-01-23,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,21.07,2019,1,23,16000.0,8,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,759.3735168485999,1,2019-01-23,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,27.57,2019,1,22,25000.0,12,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,906.7827348567283,1,2019-01-22,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,20.55,2019,1,23,16000.0,7,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,778.5888077858881,1,2019-01-23,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,21.07,2019,1,23,16000.0,7,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,759.3735168485999,1,2019-01-23,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,27.57,2019,1,22,25000.0,11,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,906.7827348567283,1,2019-01-22,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,20.55,2019,1,23,16000.0,9,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,778.5888077858881,1,2019-01-23,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,27.57,2019,1,2,25000.0,7,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,906.7827348567283,1,2019-01-02,2019-01,297
민족통일MJ캠퍼스외대2차,이문동,327-4,27.57,2019,1,24,25500.0,8,2018,,,,,,,N,,11230,,37.5951455038198,127.05966372291,924.9183895538629,1,2019-01-24,2019-01,297
