aptNm,umdNm,jibun,excluUseAr,dealYear,dealMonth,dealDay,deposit,monthlyRent,floor,buildYear,aptSeq,contractTerm,contractType,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,useRRRight
래미안미드카운티,답십리동,1013,84.97,2019,1,29,"20,000",105,14,2019,11230-2802,,,,,답십리로 141,,00141,00000,3005025,1,11230,11230,
휘경동일하이빌,휘경동,365,110.56,2019,1,8,"45,000",0,13,2005,11230-1996,,,,,장안벚꽃로5길 10,0,00010,00000,4115385,1,11230,11230,
답십리청솔우성,답십리동,80,59.74,2019,1,16,"30,500",0,25,2000,11230-26,,,,,전농로10길 20,0,00020,00000,4115424,1,11230,11230,
래미안미드카운티,답십리동,1013,84.99,2019,1,31,"5,000",140,4,2019,11230-2802,,,,,답십리로 141,,00141,00000,3005025,1,11230,11230,
래미안아름숲,전농동,688,84.91,2019,1,26,"10,000",110,3,2012,11230-2222,,,,,전농로16길 51,0,00051,00000,4115429,1,11230,11230,
이문삼성래미안아파트,이문동,425,84.954,2019,1,29,"41,000",0,3,2001,11230-60,,,,,천장산로11길 22,,00022,00000,4115500,0,11230,11230,
대림e-편한세상,이문동,225,84.972,2019,1,19,"37,000",0,7,2003,11230-65,,,,,한천로63길 10,0,00010,00000,4115643,1,11230,11230,
두산,답십리동,990,59.96,2019,1,31,"30,000",0,3,2000,11230-22,,,,,답십리로56길 21,0,00021,00000,4115090,1,11230,11230,
정은스카이빌201동,장안동,347-8,84.38,2019,1,12,"24,000",0,5,2006,11230-2038,,,,,장한로18길 31,0,00031,00000,4115394,1,11230,11230,
센시티16,답십리동,488-18,14.244,2019,1,21,"10,000",0,11,2013,11230-2370,,,,,전농로 16,0,00016,00000,3105013,2,11230,11230,
동아,답십리동,10,59.88,2019,1,16,"30,000",0,11,2001,11230-21,,,,,한천로11길 10-1,0,00010,00001,4115600,1,11230,11230,
전농동신성미소지움,전농동,687,55.371,2019,1,7,"5,000",100,4,2005,11230-1966,,,,,서울시립대로 75,0,00075,00000,3105004,1,11230,11230,
민족통일MJ캠퍼스경희대,회기동,67-3,27.64,2019,1,17,"22,000",0,7,2017,11230-2744,,,,,이문로 3,0,00003,00000,3105010,0,11230,11230,
래미안위브,답십리동,1003,84.98,2019,1,23,"54,500",0,9,2014,11230-2587,,,,,답십리로 130,0,00130,00000,3005025,3,11230,11230,
래미안장안2차,장안동,329-3,81.05,2019,1,23,"40,000",0,17,2007,11230-129,,,,,장안벚꽃로 167,0,00167,00000,3105011,1,11230,11230,
롯데캐슬피렌체,용두동,790,26.08,2019,1,22,"1,500",70,8,2009,11230-2159,,,,,정릉천동로 58,0,00058,00000,3105014,1,11230,11230,
래미안장안2차,장안동,329-3,81.05,2019,1,26,"43,000",0,24,2007,11230-129,,,,,장안벚꽃로 167,0,00167,00000,3105011,1,11230,11230,
래미안위브,답십리동,1003,59.96,2019,1,26,"45,500",0,3,2014,11230-2587,,,,,답십리로 130,0,00130,00000,3005025,3,11230,11230,
태솔아파트3차,장안동,346-1,51.96,2019,1,4,"32,000",0,14,2018,11230-2825,,,,,장한로26가길 53,0,00053,00000,4115401,1,11230,11230,
래미안위브,답십리동,1003,59.97,2019,1,20,"42,000",0,1,2014,11230-2587,,,,,답십리로 130,0,00130,00000,3005025,3,11230,11230,
쌍용,이문동,64,59.99,2019,1,13,"30,000",0,6,2000,11230-62,,,,,한천로58길 47,0,00047,00000,4115640,1,11230,11230,
래미안장안,장안동,354-2,59.86,2019,1,7,"39,000",0,10,2003,11230-70,,,,,장한로14길 81,0,00081,00000,4115391,1,11230,11230,
현대,이문동,54,59.92,2019,1,19,"23,000",20,17,2000,11230-63,,,,,한천로58길 107,0,00107,00000,4115640,1,11230,11230,
미주,청량리동,235-1,102.15,2019,1,19,"28,000",0,2,1978,11230-43,,,,,약령시로 154,0,00154,00000,3105006,2,11230,11230,
장안뉴시티,장안동,372-5,17.63,2019,1,11,"10,000",0,13,2012,11230-2274,,,,,장한로 105,0,00105,00000,3105012,1,11230,11230,
래미안크레시티,전농동,690,84.96,2019,1,8,"51,000",0,4,2014,11230-2578,,,,,사가정로 65,0,00065,00000,3005034,1,11230,11230,
래미안장안2차,장안동,329-3,81.05,2019,1,1,"28,000",35,23,2007,11230-129,,,,,장안벚꽃로 167,0,00167,00000,3105011,1,11230,11230,
전농동삼성래미안,전농동,155,84.98,2019,1,1,"5,000",120,9,2000,11230-9,,,,,전농로 192,0,00192,00000,3105013,1,11230,11230,
답십리청솔우성,답십리동,80,59.74,2019,1,25,"30,000",0,20,2000,11230-26,,,,,전농로10길 20,0,00020,00000,4115424,1,11230,11230,
휘경동일하이빌,휘경동,365,110.56,2019,1,12,"20,000",100,15,2005,11230-1996,,,,,장안벚꽃로5길 10,0,00010,00000,4115385,1,11230,11230,
